season,n_weeks,percent_accuracy,rank_accuracy,method_agreement_rate,percent_delta_mean,rank_delta_mean,percent_high_fan_elim_rate,rank_high_fan_elim_rate,accuracy_gap_rank_minus_percent,delta_gap_rank_minus_percent,high_fan_elim_gap_rank_minus_percent
1,3,1.0,0.6666666666666666,0.6666666666666666,-0.2777777777777778,-0.02777777777777779,0.0,0.0,-0.33333333333333337,0.25,0.0
2,7,1.0,0.8571428571428571,0.8571428571428571,-0.1248015873015873,-0.0623015873015873,0.0,0.0,-0.1428571428571429,0.0625,0.0
3,7,1.0,0.5714285714285714,0.5714285714285714,-0.25810657596371883,0.027607709750566884,0.0,0.14285714285714285,-0.4285714285714286,0.2857142857142857,0.14285714285714285
4,8,1.0,0.625,0.625,-0.15465367965367965,-0.011309523809523811,0.0,0.0,-0.375,0.14334415584415583,0.0
5,9,1.0,0.6666666666666666,0.6666666666666666,-0.17159892576559244,0.0011283469616802963,0.0,0.0,-0.33333333333333337,0.17272727272727273,0.0
6,8,1.0,0.875,0.875,-0.11770833333333333,-0.04270833333333333,0.0,0.0,-0.125,0.07500000000000001,0.0
7,8,1.0,0.625,0.625,-0.13037951631701633,-0.0065814393939393895,0.0,0.0,-0.375,0.12379807692307694,0.0
8,9,0.8888888888888888,0.6666666666666666,0.7777777777777778,-0.10348355348355348,-0.0070922904256237596,0.0,0.0,-0.2222222222222222,0.09639126305792972,0.0
9,9,1.0,0.6666666666666666,0.6666666666666666,-0.14121680788347454,-0.05645897312563978,0.0,0.0,-0.33333333333333337,0.08475783475783477,0.0
10,8,0.875,0.75,0.875,-0.03377525252525253,0.018308080808080808,0.0,0.0,-0.125,0.052083333333333336,0.0
11,9,1.0,0.6666666666666666,0.6666666666666666,-0.20343915343915342,-0.01097883597883598,0.0,0.0,-0.33333333333333337,0.19246031746031744,0.0
12,8,1.0,1.0,1.0,-0.10754419191919193,-0.10754419191919193,0.0,0.0,0.0,0.0,0.0
13,9,0.8888888888888888,0.6666666666666666,0.7777777777777778,-0.08765432098765431,-0.01526374859708193,0.0,0.0,-0.2222222222222222,0.07239057239057238,0.0
14,8,1.0,0.75,0.75,-0.1780844155844156,-0.032251082251082246,0.0,0.0,-0.25,0.14583333333333334,0.0
15,7,1.0,0.5714285714285714,0.5714285714285714,-0.26852453102453105,0.01583694083694084,0.0,0.0,-0.4285714285714286,0.28436147186147187,0.0
16,8,1.0,1.0,1.0,-0.04444444444444444,-0.04444444444444444,0.0,0.0,0.0,0.0,0.0
17,9,1.0,0.5555555555555556,0.5555555555555556,-0.26966690716690717,0.010205226871893534,0.0,0.0,-0.4444444444444444,0.2798721340388007,0.0
18,7,0.8571428571428571,0.8571428571428571,1.0,-0.1618145743145743,-0.1618145743145743,0.0,0.0,0.0,0.0,0.0
19,10,1.0,0.8,0.8,-0.13158119658119657,-0.04741452991452992,0.0,0.0,-0.19999999999999996,0.08416666666666665,0.0
20,8,0.875,0.375,0.375,-0.2659744769119769,0.04578147546897547,0.0,0.125,-0.5,0.3117559523809524,0.125
21,7,1.0,0.5714285714285714,0.5714285714285714,-0.27884615384615385,0.06341575091575093,0.0,0.0,-0.4285714285714286,0.34226190476190477,0.0
22,7,1.0,0.5714285714285714,0.5714285714285714,-0.20535714285714285,0.0041666666666666675,0.0,0.07142857142857142,-0.4285714285714286,0.20952380952380953,0.07142857142857142
23,9,1.0,0.6666666666666666,0.6666666666666666,-0.17649156399156396,-0.0649919524919525,0.0,0.0,-0.33333333333333337,0.11149961149961146,0.0
24,8,1.0,0.625,0.625,-0.29013347763347763,-0.044597763347763344,0.0,0.0,-0.375,0.2455357142857143,0.0
25,8,1.0,0.375,0.375,-0.1629461684149184,0.057186043123543126,0.0,0.0,-0.625,0.22013221153846152,0.0
26,3,1.0,0.3333333333333333,0.3333333333333333,-0.1259259259259259,0.017824074074074065,0.0,0.0,-0.6666666666666667,0.14375,0.0
27,7,0.8571428571428571,0.2857142857142857,0.42857142857142855,-0.17297494172494174,0.0455495892995893,0.0,0.0,-0.5714285714285714,0.21852453102453104,0.0
28,7,1.0,0.5714285714285714,0.5714285714285714,-0.2054988662131519,0.012471655328798181,0.0,0.0,-0.4285714285714286,0.21797052154195007,0.0
29,9,1.0,0.7777777777777778,0.7777777777777778,-0.10036861286861287,-0.01472046472046472,0.0,0.0,-0.2222222222222222,0.08564814814814815,0.0
30,8,1.0,0.625,0.625,-0.1556074134199134,0.04318858225108225,0.0,0.0,-0.375,0.19879599567099565,0.0
31,9,1.0,1.0,1.0,-0.0642636684303351,-0.0642636684303351,0.0,0.0,0.0,0.0,0.0
32,9,1.0,0.3333333333333333,0.3333333333333333,-0.24297831797831795,0.06617487450820785,0.0,0.0,-0.6666666666666667,0.3091531924865258,0.0
33,6,1.0,0.5,0.5,-0.18856837606837606,0.01961233211233211,0.0,0.0,-0.5,0.20818070818070816,0.0
34,8,1.0,0.75,0.75,-0.19754238816738817,-0.06686056998557,0.0,0.0,-0.25,0.13068181818181818,0.0
